field,ra1,dec1,ra2,dec2,ra3,dec3,ra4,dec4
362,128.779341893305,-6.05091174810541,128.873484022275,-13.6033736369848,121.290619480649,-13.617023462563,121.36294657597,-6.06522903673258
363,135.849001893304,-6.05091174810541,135.943144022275,-13.6033736369848,128.360279480649,-13.617023462563,128.43260657597,-6.06522903673258
364,142.918671893304,-6.05091174810541,143.012814022275,-13.6033736369848,135.429949480649,-13.617023462563,135.50227657597,-6.06522903673258
365,149.988341893304,-6.05091174810541,150.082484022275,-13.6033736369848,142.499619480649,-13.617023462563,142.57194657597,-6.06522903673258
366,157.058001893304,-6.05091174810541,157.152144022275,-13.6033736369848,149.569279480649,-13.617023462563,149.64160657597,-6.06522903673258
367,164.127671893304,-6.05091174810541,164.221814022275,-13.6033736369848,156.638949480649,-13.617023462563,156.71127657597,-6.06522903673258
368,171.197341893304,-6.05091174810541,171.291484022275,-13.6033736369848,163.708619480649,-13.617023462563,163.78094657597,-6.06522903673258
369,178.267001893304,-6.05091174810541,178.361144022275,-13.6033736369848,170.778279480649,-13.617023462563,170.85060657597,-6.06522903673258
370,185.336671893304,-6.05091174810541,185.430814022275,-13.6033736369848,177.847949480649,-13.617023462563,177.92027657597,-6.06522903673258
371,192.406341893304,-6.05091174810541,192.500484022275,-13.6033736369848,184.917619480649,-13.617023462563,184.98994657597,-6.06522903673258
372,199.476001893304,-6.05091174810541,199.570144022275,-13.6033736369848,191.987279480649,-13.617023462563,192.05960657597,-6.06522903673258
373,206.545671893305,-6.05091174810541,206.639814022275,-13.6033736369848,199.056949480649,-13.617023462563,199.12927657597,-6.06522903673258
374,213.615341893305,-6.05091174810541,213.709484022275,-13.6033736369848,206.126619480649,-13.617023462563,206.19894657597,-6.06522903673258
375,220.685001893305,-6.05091174810541,220.779144022275,-13.6033736369848,213.196279480649,-13.617023462563,213.26860657597,-6.06522903673258
376,227.754671893305,-6.05091174810541,227.848814022275,-13.6033736369848,220.265949480649,-13.617023462563,220.33827657597,-6.06522903673258
377,234.824341893305,-6.05091174810541,234.918484022275,-13.6033736369848,227.335619480649,-13.617023462563,227.40794657597,-6.06522903673258
378,241.894001893305,-6.05091174810541,241.988144022275,-13.6033736369848,234.405279480649,-13.617023462563,234.47760657597,-6.06522903673258
379,248.963671893305,-6.05091174810541,249.057814022275,-13.6033736369848,241.474949480649,-13.617023462563,241.54727657597,-6.06522903673258
380,256.033341893305,-6.05091174810541,256.127484022275,-13.6033736369848,248.544619480649,-13.617023462563,248.61694657597,-6.06522903673258
381,263.103001893305,-6.05091174810541,263.197144022275,-13.6033736369848,255.614279480649,-13.617023462563,255.68660657597,-6.06522903673258
382,270.172671893304,-6.05091174810541,270.266814022275,-13.6033736369848,262.683949480649,-13.617023462563,262.75627657597,-6.06522903673258
383,277.242341893305,-6.05091174810541,277.336484022275,-13.6033736369848,269.753619480649,-13.617023462563,269.82594657597,-6.06522903673258
384,284.301761893305,-6.05091174810541,284.395904022275,-13.6033736369848,276.813039480649,-13.617023462563,276.88536657597,-6.06522903673258
385,291.350951893305,-6.05091174810541,291.445094022275,-13.6033736369848,283.862229480649,-13.617023462563,283.93455657597,-6.06522903673258
386,298.400131893304,-6.05091174810541,298.494274022275,-13.6033736369848,290.911409480649,-13.617023462563,290.98373657597,-6.06522903673258
387,305.449321893305,-6.05091174810541,305.543464022275,-13.6033736369848,297.960599480649,-13.617023462563,298.03292657597,-6.06522903673258
388,312.498501893304,-6.05091174810541,312.592644022275,-13.6033736369848,305.009779480649,-13.617023462563,305.08210657597,-6.06522903673258
389,319.547691893304,-6.05091174810541,319.641834022275,-13.6033736369848,312.058969480649,-13.617023462563,312.13129657597,-6.06522903673258
390,326.596871893305,-6.05091174810541,326.691014022275,-13.6033736369848,319.108149480649,-13.617023462563,319.18047657597,-6.06522903673258
391,333.646061893304,-6.05091174810541,333.740204022275,-13.6033736369848,326.157339480649,-13.617023462563,326.22966657597,-6.06522903673258
392,340.695241893305,-6.05091174810541,340.789384022275,-13.6033736369848,333.206519480649,-13.617023462563,333.27884657597,-6.06522903673258
393,347.744431893305,-6.05091174810541,347.838574022275,-13.6033736369848,340.255709480649,-13.617023462563,340.32803657597,-6.06522903673258
394,354.793611893305,-6.05091174810541,354.887754022275,-13.6033736369848,347.304889480649,-13.617023462563,347.37721657597,-6.06522903673258
395,1.84280189330451,-6.05091174810541,1.93694402227482,-13.6033736369848,354.354079480649,-13.617023462563,354.42640657597,-6.06522903673258
396,5.37802909254276,1.13427154170413,5.40894630741159,-6.41869602808633,357.992660600076,-6.43244456576273,358.001680201207,1.11968019240751
397,12.4068790925428,1.13427154170413,12.4377963074116,-6.41869602808633,5.02151060007558,-6.43244456576273,5.0305302012073,1.11968019240751
398,19.4357190925428,1.13427154170413,19.4666363074116,-6.41869602808633,12.0503506000756,-6.43244456576273,12.0593702012073,1.11968019240751
399,26.4645690925428,1.13427154170413,26.4954863074116,-6.41869602808633,19.0792006000756,-6.43244456576273,19.0882202012073,1.11968019240751
400,33.4934190925428,1.13427154170413,33.5243363074116,-6.41869602808633,26.1080506000756,-6.43244456576273,26.1170702012073,1.11968019240751
401,40.5222590925428,1.13427154170413,40.5531763074116,-6.41869602808633,33.1368906000756,-6.43244456576273,33.1459102012073,1.11968019240751
402,47.5511090925428,1.13427154170413,47.5820263074116,-6.41869602808633,40.1657406000756,-6.43244456576273,40.1747602012073,1.11968019240751
403,54.5799490925428,1.13427154170413,54.6108663074116,-6.41869602808633,47.1945806000756,-6.43244456576273,47.2036002012073,1.11968019240751
404,61.6087990925428,1.13427154170413,61.6397163074116,-6.41869602808633,54.2234306000756,-6.43244456576273,54.2324502012073,1.11968019240751
405,68.6376490925428,1.13427154170413,68.6685663074116,-6.41869602808633,61.2522806000756,-6.43244456576273,61.2613002012073,1.11968019240751
406,75.6664890925428,1.13427154170413,75.6974063074116,-6.41869602808633,68.2811206000756,-6.43244456576273,68.2901402012073,1.11968019240751
